,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
220094,110566,Edvaldo Valrio da Silva Filho,M,22.0,194.0,78.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
220136,110590,"Silvia Andrea ""Silvinha"" Santos Luz",F,21.0,173.0,66.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Basketball,Basketball Women's Basketball,Silver
220137,110590,"Silvia Andrea ""Silvinha"" Santos Luz",F,25.0,173.0,66.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Women's Basketball,Bronze
220141,110593,"Silvio ""Silvinho"" Paiva",M,25.0,169.0,63.0,Brazil,BRA,1984 Summer,1984,Summer,Los Angeles,Football,Football Men's Football,Silver
220501,110748,Jos Edvar Simes,M,21.0,185.0,80.0,Brazil,BRA,1964 Summer,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,Bronze
220637,110816,Simone Gomes Jatob,F,27.0,172.0,66.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Football,Football Women's Football,Silver
224203,112616,Marcos Pinto Rizzo Soares,M,19.0,173.0,68.0,Brazil,BRA,1980 Summer,1980,Summer,Moskva,Sailing,Sailing Mixed Two Person Dinghy,Gold
224267,112647,Rafael Augusto Sbis do Nascimento,M,23.0,173.0,71.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football,Bronze
224290,112664,Marta de Souza Sobral,F,32.0,190.0,74.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Basketball,Basketball Women's Basketball,Silver
224291,112664,Marta de Souza Sobral,F,36.0,190.0,74.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Women's Basketball,Bronze
225792,113459,Cludio Roberto de Sousa,M,26.0,168.0,72.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
225842,113486,Douglas Correia de Souza,M,20.0,199.0,75.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Gold
225874,113499,Maurcio Luiz de Souza,M,27.0,209.0,93.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Gold
231465,116136,Antnio Salvador Sucar,M,21.0,200.0,100.0,Brazil,BRA,1960 Summer,1960,Summer,Roma,Basketball,Basketball Men's Basketball,Bronze
231466,116136,Antnio Salvador Sucar,M,25.0,200.0,100.0,Brazil,BRA,1964 Summer,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,Bronze
233413,117059,Isabel Marques Swan,F,24.0,181.0,69.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Sailing,Sailing Women's Two Person Dinghy,Bronze
234828,117764,Cludio Andr Mergen Taffarel,M,22.0,182.0,80.0,Brazil,BRA,1988 Summer,1988,Summer,Seoul,Football,Football Men's Football,Silver
235647,118149,Talmo Curto de Oliveira,M,22.0,194.0,87.0,Brazil,BRA,1992 Summer,1992,Summer,Barcelona,Volleyball,Volleyball Men's Volleyball,Gold
236135,118390,Tandara Caixeta,F,23.0,184.0,87.0,Brazil,BRA,2012 Summer,2012,Summer,London,Volleyball,Volleyball Women's Volleyball,Gold
236139,118394,"Alexandre ""Tande"" Ramos Samuel",M,22.0,200.0,85.0,Brazil,BRA,1992 Summer,1992,Summer,Barcelona,Volleyball,Volleyball Men's Volleyball,Gold
236257,118455,"Tnia Maria ""Tnia Maranho"" Pereira Ribeiro",F,29.0,166.0,55.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Football,Football Women's Football,Silver
236258,118455,"Tnia Maria ""Tnia Maranho"" Pereira Ribeiro",F,33.0,166.0,55.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Football,Football Women's Football,Silver
238255,119466,Thasa Daher de Menezes,F,21.0,196.0,75.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Women's Volleyball,Gold
238256,119466,Thasa Daher de Menezes,F,25.0,196.0,75.0,Brazil,BRA,2012 Summer,2012,Summer,London,Volleyball,Volleyball Women's Volleyball,Gold
238633,119627,Thiago Maia Alencar,M,19.0,178.0,64.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,Gold
246978,123661,Bruno Uvini Bortolana,M,21.0,190.0,85.0,Brazil,BRA,2012 Summer,2012,Summer,London,Football,Football Men's Football,Silver
247633,123985,"Valeska ""Valeskinha"" dos Santos Menezes",F,32.0,180.0,62.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Women's Volleyball,Gold
252152,126277,Sandro Ricardo Rodrigues Viana,M,31.0,188.0,77.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
252454,126422,Douglas Eduardo Vieira,M,24.0,170.0,95.0,Brazil,BRA,1984 Summer,1984,Summer,Los Angeles,Judo,Judo Men's Half-Heavyweight,Silver
253186,126786,Virna Cristine Dantes Dias,F,24.0,185.0,72.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Volleyball,Volleyball Women's Volleyball,Bronze
253187,126786,Virna Cristine Dantes Dias,F,29.0,185.0,72.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Volleyball,Volleyball Women's Volleyball,Bronze
255705,128021,Walace Souza Silva,M,21.0,188.0,75.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,Gold
255807,128070,Walewska Moreira de Oliveira,F,21.0,190.0,73.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Volleyball,Volleyball Women's Volleyball,Bronze
255809,128070,Walewska Moreira de Oliveira,F,29.0,190.0,73.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Women's Volleyball,Gold
255949,128152,Wallace Leandro de Souza,M,25.0,198.0,87.0,Brazil,BRA,2012 Summer,2012,Summer,London,Volleyball,Volleyball Men's Volleyball,Silver
255950,128152,Wallace Leandro de Souza,M,29.0,198.0,87.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Gold
258813,129573,Alexander Welter,M,27.0,186.0,75.0,Brazil,BRA,1980 Summer,1980,Summer,Moskva,Sailing,Sailing Mixed Multihull,Gold
259454,129899,Wverton Pereira da Silva,M,28.0,189.0,86.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,Gold
260884,130540,William Carvalho da Silva,M,29.0,185.0,80.0,Brazil,BRA,1984 Summer,1984,Summer,Los Angeles,Volleyball,Volleyball Men's Volleyball,Silver
260886,130541,William de Asevedo Furtado,M,21.0,176.0,65.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,Gold
261703,130944,Lus Carlos Coelho Winck,M,21.0,177.0,75.0,Brazil,BRA,1984 Summer,1984,Summer,Los Angeles,Football,Football Men's Football,Silver
261704,130944,Lus Carlos Coelho Winck,M,25.0,177.0,75.0,Brazil,BRA,1988 Summer,1988,Summer,Seoul,Football,Football Men's Football,Silver
263727,131977,"Mrio ""Xand"" de Oliveira Neto",M,22.0,193.0,94.0,Brazil,BRA,1984 Summer,1984,Summer,Los Angeles,Volleyball,Volleyball Men's Volleyball,Silver
267294,133724,"Ilisaine Karen ""Zaine"" David",F,22.0,190.0,70.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Women's Basketball,Bronze
267709,133931,Arthur Nabarrete Zanetti,M,26.0,156.0,61.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Rings,Silver
268211,134186,"Jos Elias ""Z Elias"" Moedim Jnior",M,19.0,178.0,75.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Football,Football Men's Football,Bronze
268218,134190,"Jos Marco ""Z Marco"" Nobrega Ferreira de Melo",M,29.0,190.0,86.0,Brazil-1,BRA,2000 Summer,2000,Summer,Sydney,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Silver
268219,134191,"Jos Marcelo ""Z Maria"" Ferreira",M,22.0,175.0,71.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Football,Football Men's Football,Bronze
268247,134211,Jos Carlos Cracco Neto,M,22.0,170.0,69.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,Gold
